Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NC_028617.1	48	121	Pltd	minus	tRNA-His	trnH-GTG	26380776	tRNA				AT063_gt001
NC_028617.1	309	1370	Pltd	minus	photosystem II protein D1	psbA	26380890	protein-coding		YP_009186148.1	353	AT063_gp086
NC_028617.1	1949	3466	Pltd	minus	maturase K	matK	26380810	protein-coding		YP_009186149.1	505	AT063_gp085
NC_028617.1	5293	6453	Pltd	minus	ribosomal protein S16	rps16	26380797	protein-coding		YP_009186150.1	91	AT063_gp084
NC_028617.1	7964	8035	Pltd	minus	tRNA-Gln	trnQ-TTG	26380808	tRNA				AT063_gt002
NC_028617.1	8472	8657	Pltd	plus	photosystem II protein K	psbK	26380895	protein-coding		YP_009186151.1	61	AT063_gp083
NC_028617.1	9067	9177	Pltd	plus	photosystem II protein I	psbI	26380855	protein-coding		YP_009186152.1	36	AT063_gp082
NC_028617.1	9323	9410	Pltd	minus	tRNA-Ser	trnS-GCT	26380868	tRNA				AT063_gt003
NC_028617.1	10242	11026	Pltd	plus	tRNA-Ser	trnS-CGA	26380875	tRNA				AT063_gt004
NC_028617.1	11357	11428	Pltd	plus	tRNA-Arg	trnR-TCT	26380820	tRNA				AT063_gt005
NC_028617.1	11718	13241	Pltd	minus	ATP synthase CF1 alpha subunit	atpA	26380896	protein-coding		YP_009186153.1	507	AT063_gp081
NC_028617.1	13309	14616	Pltd	minus	ATP synthase CF0 B subunit	atpF	26380795	protein-coding		YP_009186154.1	184	AT063_gp080
NC_028617.1	15113	15358	Pltd	minus	ATP synthase CF0 C subunit	atpH	26380806	protein-coding		YP_009186155.1	81	AT063_gp079
NC_028617.1	16616	17359	Pltd	minus	ATP synthase CF0 A subunit	atpI	26380850	protein-coding		YP_009186156.1	247	AT063_gp078
NC_028617.1	17588	18298	Pltd	minus	ribosomal protein S2	rps2	26380821	protein-coding		YP_009186157.1	236	AT063_gp077
NC_028617.1	18525	22721	Pltd	minus	RNA polymerase beta'' subunit	rpoC2	26380822	protein-coding		YP_009186158.1	1398	AT063_gp076
NC_028617.1	22887	25791	Pltd	minus	RNA polymerase beta' subunit	rpoC1	26380780	protein-coding		YP_009186159.1	685	AT063_gp075
NC_028617.1	25818	29030	Pltd	minus	RNA polymerase beta subunit	rpoB	26380782	protein-coding		YP_009186160.1	1070	AT063_gp074
NC_028617.1	30273	30353	Pltd	plus	tRNA-Cys	trnC-GCA	26380781	tRNA				AT063_gt006
NC_028617.1	31216	31305	Pltd	plus	cytochrome b6/f complex subunit VIII	petN	26380878	protein-coding		YP_009186161.1	29	AT063_gp073
NC_028617.1	32299	32412	Pltd	minus	photosystem II protein M	psbM	26380874	protein-coding		YP_009186162.1	37	AT063_gp072
NC_028617.1	33617	33690	Pltd	minus	tRNA-Asp	trnD-GTC	26380864	tRNA				AT063_gt007
NC_028617.1	34198	34281	Pltd	minus	tRNA-Tyr	trnY-GTA	26380882	tRNA				AT063_gt008
NC_028617.1	34341	34413	Pltd	minus	tRNA-Glu	trnE-TTC	26380877	tRNA				AT063_gt009
NC_028617.1	35487	35558	Pltd	plus	tRNA-Thr	trnT-GGT	26380891	tRNA				AT063_gt010
NC_028617.1	37141	38202	Pltd	plus	photosystem II protein D2	psbD	26380897	protein-coding		YP_009186163.1	353	AT063_gp071
NC_028617.1	38108	39571	Pltd	plus	photosystem II 44 kDa protein	psbC	26380811	protein-coding		YP_009186164.1	487	AT063_gp070
NC_028617.1	39818	39910	Pltd	minus	tRNA-Ser	trnS-TGA	26380802	tRNA				AT063_gt011
NC_028617.1	40313	40501	Pltd	plus	photosystem II protein Z	psbZ	26380873	protein-coding		YP_009186165.1	62	AT063_gp069
NC_028617.1	40869	40939	Pltd	plus	tRNA-Gly	trnG-GCC	26380854	tRNA				AT063_gt012
NC_028617.1	41170	41243	Pltd	minus	tRNA-Met	trnfM-CAT	26380902	tRNA				AT063_gt013
NC_028617.1	41407	41709	Pltd	minus	ribosomal protein S14	rps14	26380883	protein-coding		YP_009186166.1	100	AT063_gp068
NC_028617.1	41840	44044	Pltd	minus	photosystem I P700 chlorophyll a apoprotein A2	psaB	26380844	protein-coding		YP_009186167.1	734	AT063_gp067
NC_028617.1	44070	46322	Pltd	minus	photosystem I P700 chlorophyll a apoprotein A1	psaA	26380790	protein-coding		YP_009186168.1	750	AT063_gp066
NC_028617.1	47114	49140	Pltd	minus	photosystem I assembly protein Ycf3	ycf3	26380785	protein-coding		YP_009186169.1	168	AT063_gp065
NC_028617.1	50062	50148	Pltd	plus	tRNA-Ser	trnS-GGA	26380792	tRNA				AT063_gt014
NC_028617.1	50353	50958	Pltd	minus	ribosomal protein S4	rps4	26380876	protein-coding		YP_009186170.1	201	AT063_gp064
NC_028617.1	51299	51371	Pltd	minus	tRNA-Thr	trnT-TGT	26380828	tRNA				AT063_gt015
NC_028617.1	52248	52857	Pltd	plus	tRNA-Leu	trnL-UAA	26380892	tRNA				AT063_gt016
NC_028617.1	53251	53323	Pltd	plus	tRNA-Phe	trnF-GAA	26380827	tRNA				AT063_gt017
NC_028617.1	54146	54622	Pltd	minus	NADH dehydrogenase subunit J	ndhJ	26380893	protein-coding		YP_009186171.1	158	AT063_gp063
NC_028617.1	54756	55436	Pltd	minus	NADH dehydrogenase subunit K	ndhK	26380832	protein-coding		YP_009186172.1	226	AT063_gp062
NC_028617.1	55495	55857	Pltd	minus	NADH dehydrogenase subunit 3	ndhC	26380825	protein-coding		YP_009186173.1	120	AT063_gp061
NC_028617.1	56408	57098	Pltd	minus	tRNA-Val	trnV-UAC	26380840	tRNA				AT063_gt018
NC_028617.1	57273	57344	Pltd	plus	tRNA-Met	trnM-CAT	26380823	tRNA				AT063_gt019
NC_028617.1	57556	57957	Pltd	minus	ATP synthase CF1 epsilon subunit	atpE	26380894	protein-coding		YP_009186174.1	133	AT063_gp060
NC_028617.1	57980	59455	Pltd	minus	ATP synthase CF1 beta subunit	atpB	26380838	protein-coding		YP_009186175.1	491	AT063_gp059
NC_028617.1	60233	61681	Pltd	plus	ribulose-1	rbcL	26380801	protein-coding		YP_009186176.1	482	AT063_gp058
NC_028617.1	62383	63915	Pltd	plus	acetyl-CoA carboxylase beta subunit	accD	26380804	protein-coding		YP_009186177.1	510	AT063_gp057
NC_028617.1	64690	64803	Pltd	plus	photosystem I subunit VIII	psaI	26380793	protein-coding		YP_009186178.1	37	AT063_gp056
NC_028617.1	65213	65767	Pltd	plus	photosystem I assembly protein Ycf4	ycf4	26380867	protein-coding		YP_009186179.1	184	AT063_gp055
NC_028617.1	66387	67076	Pltd	plus	envelope membrane protein	cemA	26380829	protein-coding		YP_009186180.1	229	AT063_gp054
NC_028617.1	67290	68255	Pltd	plus	cytochrome f	petA	26380824	protein-coding		YP_009186181.1	321	AT063_gp053
NC_028617.1	69373	69495	Pltd	minus	photosystem II protein J	psbJ	26380816	protein-coding		YP_009186182.1	40	AT063_gp052
